time,Temp
1586089106,18.3371
1586089152,18.4208
1586089198,18.4208
1586089244,18.5302
1586089289,18.5302
1586089335,18.6332
1586089381,18.6332
1586089427,18.6589
1586089473,18.6589
1586089519,18.6846
1586089564,18.6846
1586089610,18.736
1586089656,18.736
1586089702,18.8067
1586089748,18.8067
1586089794,18.8324
1586089840,18.8324
1586089886,18.8388
1586089931,18.8388
1586089977,18.8452
1586090023,18.8452
1586090069,18.8645
1586090115,18.8645
1586090161,18.8837
1586090207,18.8837
1586090252,18.8773
1586090298,18.8773
1586090344,18.8902
1586090390,18.8902
1586090436,18.9222
1586090482,18.9222
1586090528,18.9158
1586090574,18.9158
1586090619,18.9094
1586090665,18.9094
1586090711,18.9158
1586090757,18.9158
1586090803,18.9287
1586090849,18.9287
1586090894,18.9351
1586090940,18.9351
1586090986,18.9479
1586091032,18.9479
1586091078,18.9543
1586091124,18.9543
1586091170,18.9736
1586091215,18.9736
1586091261,18.9864
1586091307,18.9864
1586091353,19.0056
1586091399,19.0056
1586091445,19.0056
1586091491,19.0056
1586091536,19.0377
1586091582,19.0377
1586091628,19.0185
1586091674,19.0185
1586091720,19.0762
1586091766,19.0762
1586091812,19.0762
1586091858,19.0762
1586091903,19.0698
1586091949,19.0698
1586091995,19.089
1586092041,19.089
1586092087,19.0954
1586092133,19.0954
1586092178,19.1146
1586092224,19.1146
1586092270,19.1274
1586092316,19.1274
1586092362,19.1467
1586092408,19.1467
1586092454,19.1595
1586092499,19.1595
1586092545,19.1339
1586092591,19.1339
1586092637,19.1723
1586092683,19.1723
1586092729,19.1851
1586092775,19.1851
1586092820,19.2043
1586092866,19.2043
1586092912,19.2171
1586092958,19.2171
1586093004,19.2427
1586093050,19.2427
1586093096,19.2683
1586093142,19.2683
1586093187,19.3195
1586093233,19.3195
1586093279,19.3324
1586093325,19.3324
1586093371,19.3643
1586093417,19.3643
1586093463,19.3771
1586093508,19.3771
1586093554,19.4219
1586093600,19.4219
1586093646,19.4475
1586093692,19.4475
1586093738,19.4731
1586093784,19.4731
1586093829,19.505
1586093875,19.505
1586093921,19.5434
1586093967,19.5434
1586094013,19.5625
1586094059,19.5625
1586094104,19.5945
1586094150,19.5945
1586094196,19.6009
1586094242,19.6009
1586094288,19.6009
1586094334,19.6009
1586094380,19.6136
1586094425,19.6136
1586094471,19.5945
1586094517,19.5945
1586094563,19.6136
1586094609,19.6136
1586094655,19.6264
1586094701,19.6264
1586094746,19.6519
1586094792,19.6519
1586094838,19.6647
1586094884,19.6647
1586094930,19.6839
1586094976,19.6839
1586095022,19.7094
1586095068,19.7094
1586095113,19.7158
1586095159,19.7158
1586095205,19.7413
1586095251,19.7413
1586095297,19.7605
1586095343,19.7605
1586095389,19.7732
1586095434,19.7732
1586095480,19.7987
1586095526,19.7987
1586095572,19.7987
1586095618,19.7987
1586095664,19.8242
1586095710,19.8242
1586095755,19.8434
1586095801,19.8434
1586095847,19.8498
1586095893,19.8498
1586095939,19.8689
1586095985,19.8689
1586096031,19.8816
1586096076,19.8816
1586096122,19.888
1586096168,19.888
1586096214,19.9071
1586096260,19.9071
1586096306,19.9135
1586096352,19.9135
1586096397,19.9262
1586096443,19.9262
1586096489,19.9326
1586096535,19.9326
1586096581,19.9581
1586096627,19.9581
1586096672,19.9709
1586096718,19.9709
1586096764,19.9772
1586096810,19.9772
1586096856,19.9772
1586096902,19.9772
1586096948,20.0027
1586096993,20.0027
1586097039,20.0091
1586097085,20.0091
1586097131,20.0282
1586097177,20.0282
1586097223,20.0345
1586097269,20.0345
1586097315,20.0409
1586097360,20.0409
1586097406,20.06
1586097452,20.06
1586097498,20.06
1586097544,20.06
1586097590,20.0727
1586097635,20.0727
1586097681,20.0919
1586097727,20.0919
1586097773,20.0919
1586097819,20.0919
1586097865,20.0919
1586097911,20.0919
1586097956,20.0982
1586098002,20.0982
1586098048,20.1109
1586098094,20.1109
1586098140,20.1046
1586098186,20.1046
1586098232,20.1173
1586098277,20.1173
1586098324,20.13
1586098369,20.13
1586098415,20.1364
1586098461,20.1364
1586098507,20.1364
1586098553,20.1364
1586098598,20.1491
1586098645,20.1491
1586098690,20.1555
1586098736,20.1555
1586098782,20.1682
1586098828,20.1682
1586098874,20.1873
1586098920,20.1873
1586098965,20.2
1586099011,20.2
1586099057,20.2191
1586099103,20.2191
1586099149,20.2191
1586099195,20.2191
1586099241,20.2382
1586099287,20.2382
1586099332,20.2636
1586099378,20.2636
1586099424,20.2636
1586099470,20.2636
1586099516,20.2763
1586099562,20.2763
1586099608,20.2954
1586099653,20.2954
1586099699,20.3017
1586099745,20.3017
1586099791,20.3145
1586099837,20.3145
1586099883,20.3335
1586099929,20.3335
1586099974,20.3399
1586100020,20.3399
1586100066,20.3526
1586100112,20.3526
1586100158,20.3717
1586100204,20.3717
1586100250,20.359
1586100295,20.359
1586100341,20.3717
1586100387,20.3717
1586100433,20.4034
1586100479,20.4034
1586100525,20.3971
1586100570,20.3971
1586100616,20.3907
1586100662,20.3907
1586100708,20.3971
1586100754,20.3971
1586100800,20.4098
1586100846,20.4098
1586100892,20.4161
1586100937,20.4161
1586100983,20.4161
1586101029,20.4161
1586101075,20.4161
1586101121,20.4161
1586101167,20.4098
1586101212,20.4098
1586101258,20.4161
1586101304,20.4161
1586101350,20.4288
1586101396,20.4288
1586101442,20.4161
1586101488,20.4161
1586101534,20.4352
1586101579,20.4352
1586101625,20.4225
1586101671,20.4225
1586101717,20.4352
1586101763,20.4352
1586101809,20.4415
1586101855,20.4415
1586101900,20.4415
1586101946,20.4415
1586101992,20.4479
1586102038,20.4479
1586102084,20.4479
1586102130,20.4479
1586102176,20.4669
1586102221,20.4669
1586102267,20.4733
1586102313,20.4733
1586102359,20.4796
1586102405,20.4796
1586102451,20.5368
1586102496,20.5368
1586102542,20.6192
1586102588,20.6192
1586102634,20.689
1586102680,20.689
1586102726,20.7777
1586102772,20.7777
1586102817,20.8664
1586102863,20.8664
1586102909,20.9424
1586102955,20.9424
1586103001,20.993
1586103047,20.993
1586103093,21.05
1586103138,21.05
1586103184,21.1321
1586103230,21.1321
